endpoint,year,session_key,file_path,file_size_bytes,modified_time_utc
drivers,2024,9472.0,D:\Udemy\Projects\openf1-big-data-pipeline\data\bronze\drivers\year=2024\session_key=9472.jsonl,8796,2026-05-19T09:34:57.727463+00:00
laps,2024,9472.0,D:\Udemy\Projects\openf1-big-data-pipeline\data\bronze\laps\year=2024\session_key=9472.jsonl,628249,2026-05-19T09:34:58.336175+00:00
meetings,2024,,D:\Udemy\Projects\openf1-big-data-pipeline\data\bronze\meetings\year=2024\meetings.jsonl,19892,2026-05-19T09:34:56.769986+00:00
pit,2024,9472.0,D:\Udemy\Projects\openf1-big-data-pipeline\data\bronze\pit\year=2024\session_key=9472.jsonl,8373,2026-05-19T09:34:58.648961+00:00
position,2024,9472.0,D:\Udemy\Projects\openf1-big-data-pipeline\data\bronze\position\year=2024\session_key=9472.jsonl,86855,2026-05-19T09:34:59.340015+00:00
race_control,2024,9472.0,D:\Udemy\Projects\openf1-big-data-pipeline\data\bronze\race_control\year=2024\session_key=9472.jsonl,19986,2026-05-19T09:34:59.658692+00:00
sessions,2024,,D:\Udemy\Projects\openf1-big-data-pipeline\data\bronze\sessions\year=2024\sessions.jsonl,48682,2026-05-19T09:34:57.084212+00:00
weather,2024,9472.0,D:\Udemy\Projects\openf1-big-data-pipeline\data\bronze\weather\year=2024\session_key=9472.jsonl,36768,2026-05-19T09:34:59.009945+00:00
