endpoint,year,session_key,file_path,row_count,file_size_bytes
drivers,2024,9472.0,D:\Udemy\Projects\openf1-big-data-pipeline\data\bronze\drivers\year=2024\session_key=9472.jsonl,20,8796
laps,2024,9472.0,D:\Udemy\Projects\openf1-big-data-pipeline\data\bronze\laps\year=2024\session_key=9472.jsonl,1129,628249
meetings,2024,,D:\Udemy\Projects\openf1-big-data-pipeline\data\bronze\meetings\year=2024\meetings.jsonl,25,19892
pit,2024,9472.0,D:\Udemy\Projects\openf1-big-data-pipeline\data\bronze\pit\year=2024\session_key=9472.jsonl,43,8373
position,2024,9472.0,D:\Udemy\Projects\openf1-big-data-pipeline\data\bronze\position\year=2024\session_key=9472.jsonl,698,86855
race_control,2024,9472.0,D:\Udemy\Projects\openf1-big-data-pipeline\data\bronze\race_control\year=2024\session_key=9472.jsonl,71,19986
sessions,2024,,D:\Udemy\Projects\openf1-big-data-pipeline\data\bronze\sessions\year=2024\sessions.jsonl,123,48682
weather,2024,9472.0,D:\Udemy\Projects\openf1-big-data-pipeline\data\bronze\weather\year=2024\session_key=9472.jsonl,157,36768
