endpoint,files,total_bytes
drivers,2,17412.0
laps,2,1111659.0
meetings,1,19867.0
pit,2,11998.0
position,2,114435.0
race_control,2,39137.0
session_result,2,8166.0
sessions,1,48559.0
weather,2,70652.0
