team_name,points_finish,cnt
Alpine,0,4
Aston Martin,0,1
Aston Martin,1,3
Ferrari,1,4
Haas F1 Team,0,3
Haas F1 Team,1,1
Kick Sauber,0,4
McLaren,1,4
Mercedes,1,4
RB,0,4
Red Bull Racing,1,4
Williams,0,4
