endpoint,year,session_key,file_path,row_count,file_size_bytes
drivers,2024,9617.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9617.jsonl,20,8472
drivers,2024,9625.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9625.jsonl,20,8472
drivers,2024,9635.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9635.jsonl,20,8319
drivers,2024,9636.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9636.jsonl,20,8319
drivers,2024,9644.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9644.jsonl,20,8472
drivers,2025,10006.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=10006.jsonl,20,8794
drivers,2025,10014.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=10014.jsonl,20,8794
drivers,2025,10022.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=10022.jsonl,20,8794
drivers,2025,10028.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=10028.jsonl,20,8794
drivers,2025,10033.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=10033.jsonl,20,8794
drivers,2025,9858.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9858.jsonl,20,8643
drivers,2025,9864.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9864.jsonl,20,8643
drivers,2025,9869.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9869.jsonl,20,8643
drivers,2025,9877.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9877.jsonl,20,8643
drivers,2025,9883.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9883.jsonl,20,8643
drivers,2025,9888.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9888.jsonl,20,8643
drivers,2025,9896.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9896.jsonl,20,8643
drivers,2025,9904.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9904.jsonl,20,8643
drivers,2025,9912.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9912.jsonl,20,8643
drivers,2025,9920.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9920.jsonl,20,8643
drivers,2025,9928.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9928.jsonl,20,8643
drivers,2025,9934.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9934.jsonl,20,8643
drivers,2025,9939.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9939.jsonl,20,8643
drivers,2025,9947.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9947.jsonl,20,8643
drivers,2025,9955.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2025/session_key=9955.jsonl,20,8643
