column_name,missing_count,missing_pct
avg_sector_1,43,2.4487
full_name,0,0.0
min_pit_duration,453,25.7973
meeting_name,0,0.0
safety_car_message_count,0,0.0
location,0,0.0
session_country_name,0,0.0
lap_count,0,0.0
red_flag_count,0,0.0
rainfall_flag,0,0.0
team_name,0,0.0
first_observed_position,0,0.0
result_points,0,0.0
circuit_key,0,0.0
avg_sector_3,43,2.4487
avg_st_speed,28,1.5945
session_key,0,0.0
std_first5_lap_duration,68,3.8724
session_year,0,0.0
result_dnf,0,0.0
avg_air_temperature,0,0.0
yellow_flag_count,0,0.0
points_finish,0,0.0
avg_pit_duration,453,25.7973
driver_country_code,599,34.1116
race_control_message_count,0,0.0
pit_exit_message_count,0,0.0
avg_sector_2,39,2.221
std_lap_duration,49,2.7904
best_first5_lap_duration,43,2.4487
median_lap_duration,43,2.4487
result_dsq,0,0.0
avg_pressure,0,0.0
diagnostic_final_observed_position,0,0.0
flag_message_count,0,0.0
early_avg_position,0,0.0
best_lap_duration,43,2.4487
first_pit_lap,453,25.7973
driver_number,0,0.0
position_observation_count,0,0.0
