feature_group,rows_before,rows_after,unmatched_base_rows,unmatched_pct,notes
metadata,1756,1756,0,0.0,
laps,1756,1756,0,0.0,
pit,1756,1756,0,0.0,
position,1756,1756,0,0.0,
weather,1756,1756,0,0.0,
race_control,1756,1756,0,0.0,
