endpoint,total_rows,file_count
drivers,1516.0,76
laps,60357.0,64
meetings,74.0,3
pit,1935.0,59
position,29023.0,67
race_control,5088.0,64
session_result,1437.0,72
sessions,364.0,3
weather,10142.0,70
