endpoint,year,session_key,file_path,file_size_bytes,modified_time_utc
drivers,2024,9558.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9558.jsonl,8776,2026-05-19T17:42:07+00:00
drivers,2024,9566.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9566.jsonl,8776,2026-05-19T17:42:07+00:00
drivers,2024,9574.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9574.jsonl,8776,2026-05-19T17:42:08+00:00
drivers,2024,9582.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9582.jsonl,8776,2026-05-19T17:42:08+00:00
drivers,2024,9590.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9590.jsonl,8634,2026-05-19T17:42:08+00:00
drivers,2024,9598.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9598.jsonl,8481,2026-05-19T17:42:09+00:00
drivers,2024,9606.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9606.jsonl,8634,2026-05-19T17:42:09+00:00
drivers,2024,9616.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9616.jsonl,8472,2026-05-19T17:42:10+00:00
drivers,2024,9617.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9617.jsonl,8472,2026-05-19T17:42:10+00:00
drivers,2024,9625.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9625.jsonl,8472,2026-05-19T17:42:10+00:00
drivers,2024,9635.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9635.jsonl,8319,2026-05-19T17:42:11+00:00
drivers,2024,9636.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9636.jsonl,8319,2026-05-19T17:42:11+00:00
drivers,2024,9644.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9644.jsonl,8472,2026-05-19T17:42:11+00:00
