endpoint,column_name,files_seen,max_files_for_endpoint,coverage_pct,possible_schema_drift_flag
drivers,broadcast_name,2,2,100.0,False
drivers,country_code,2,2,100.0,False
drivers,driver_number,2,2,100.0,False
drivers,first_name,2,2,100.0,False
drivers,full_name,2,2,100.0,False
drivers,headshot_url,2,2,100.0,False
drivers,last_name,2,2,100.0,False
drivers,meeting_key,2,2,100.0,False
drivers,name_acronym,2,2,100.0,False
drivers,session_key,2,2,100.0,False
drivers,team_colour,2,2,100.0,False
drivers,team_name,2,2,100.0,False
laps,date_start,2,2,100.0,False
laps,driver_number,2,2,100.0,False
laps,duration_sector_1,2,2,100.0,False
laps,duration_sector_2,2,2,100.0,False
laps,duration_sector_3,2,2,100.0,False
laps,i1_speed,2,2,100.0,False
laps,i2_speed,2,2,100.0,False
laps,is_pit_out_lap,2,2,100.0,False
laps,lap_duration,2,2,100.0,False
laps,lap_number,2,2,100.0,False
laps,meeting_key,2,2,100.0,False
laps,segments_sector_1,2,2,100.0,False
laps,segments_sector_2,2,2,100.0,False
laps,segments_sector_3,2,2,100.0,False
laps,session_key,2,2,100.0,False
laps,st_speed,2,2,100.0,False
meetings,circuit_image,1,1,100.0,False
meetings,circuit_info_url,1,1,100.0,False
meetings,circuit_key,1,1,100.0,False
meetings,circuit_short_name,1,1,100.0,False
meetings,circuit_type,1,1,100.0,False
meetings,country_code,1,1,100.0,False
meetings,country_flag,1,1,100.0,False
meetings,country_key,1,1,100.0,False
meetings,country_name,1,1,100.0,False
meetings,date_end,1,1,100.0,False
meetings,date_start,1,1,100.0,False
meetings,gmt_offset,1,1,100.0,False
meetings,is_cancelled,1,1,100.0,False
meetings,location,1,1,100.0,False
meetings,meeting_key,1,1,100.0,False
meetings,meeting_name,1,1,100.0,False
meetings,meeting_official_name,1,1,100.0,False
meetings,year,1,1,100.0,False
pit,date,2,2,100.0,False
pit,driver_number,2,2,100.0,False
pit,lane_duration,2,2,100.0,False
pit,lap_number,2,2,100.0,False
pit,meeting_key,2,2,100.0,False
pit,pit_duration,2,2,100.0,False
pit,session_key,2,2,100.0,False
pit,stop_duration,2,2,100.0,False
position,date,2,2,100.0,False
position,driver_number,2,2,100.0,False
position,meeting_key,2,2,100.0,False
position,position,2,2,100.0,False
position,session_key,2,2,100.0,False
race_control,category,2,2,100.0,False
race_control,date,2,2,100.0,False
race_control,driver_number,2,2,100.0,False
race_control,flag,2,2,100.0,False
race_control,lap_number,2,2,100.0,False
race_control,meeting_key,2,2,100.0,False
race_control,message,2,2,100.0,False
race_control,qualifying_phase,2,2,100.0,False
race_control,scope,2,2,100.0,False
race_control,sector,2,2,100.0,False
race_control,session_key,2,2,100.0,False
session_result,dnf,2,2,100.0,False
session_result,dns,2,2,100.0,False
session_result,driver_number,2,2,100.0,False
session_result,dsq,2,2,100.0,False
session_result,duration,2,2,100.0,False
session_result,gap_to_leader,2,2,100.0,False
session_result,meeting_key,2,2,100.0,False
session_result,number_of_laps,2,2,100.0,False
session_result,points,2,2,100.0,False
session_result,position,2,2,100.0,False
session_result,session_key,2,2,100.0,False
sessions,circuit_key,1,1,100.0,False
sessions,circuit_short_name,1,1,100.0,False
sessions,country_code,1,1,100.0,False
sessions,country_key,1,1,100.0,False
sessions,country_name,1,1,100.0,False
sessions,date_end,1,1,100.0,False
sessions,date_start,1,1,100.0,False
sessions,gmt_offset,1,1,100.0,False
sessions,is_cancelled,1,1,100.0,False
sessions,location,1,1,100.0,False
sessions,meeting_key,1,1,100.0,False
sessions,session_key,1,1,100.0,False
sessions,session_name,1,1,100.0,False
sessions,session_type,1,1,100.0,False
sessions,year,1,1,100.0,False
weather,air_temperature,2,2,100.0,False
weather,date,2,2,100.0,False
weather,humidity,2,2,100.0,False
weather,meeting_key,2,2,100.0,False
weather,pressure,2,2,100.0,False
weather,rainfall,2,2,100.0,False
weather,session_key,2,2,100.0,False
weather,track_temperature,2,2,100.0,False
weather,wind_direction,2,2,100.0,False
weather,wind_speed,2,2,100.0,False
