endpoint,year,session_key,output_path,record_count,status,error_message,ingestion_timestamp_utc,manifest_source
drivers,2024,9507.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9507.jsonl,20,success,,2026-05-19T17:42:04+00:00,original
drivers,2024,9515.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9515.jsonl,20,success,,2026-05-19T17:42:05+00:00,original
drivers,2024,9523.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9523.jsonl,20,success,,2026-05-19T17:42:05+00:00,original
drivers,2024,9531.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9531.jsonl,20,success,,2026-05-19T17:42:05+00:00,original
drivers,2024,9539.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9539.jsonl,20,success,,2026-05-19T17:42:06+00:00,original
drivers,2024,9549.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9549.jsonl,20,success,,2026-05-19T17:42:06+00:00,original
drivers,2024,9550.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9550.jsonl,20,success,,2026-05-19T17:42:07+00:00,original
drivers,2024,9558.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9558.jsonl,20,success,,2026-05-19T17:42:07+00:00,original
drivers,2024,9566.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9566.jsonl,20,success,,2026-05-19T17:42:07+00:00,original
drivers,2024,9574.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9574.jsonl,20,success,,2026-05-19T17:42:08+00:00,original
drivers,2024,9582.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9582.jsonl,20,success,,2026-05-19T17:42:08+00:00,original
drivers,2024,9590.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9590.jsonl,20,success,,2026-05-19T17:42:08+00:00,original
drivers,2024,9598.0,/content/drive/MyDrive/openf1_big_data_pipeline/data/bronze/drivers/year=2024/session_key=9598.jsonl,20,success,,2026-05-19T17:42:09+00:00,original
